Emozioni,PleasureMean,Pleasuresd,ArousalMean,Arousalsd,Color,Alpha
Love,0.85,0.2,0.6,0.3,red,1
Joy,0.78,0.24,0.50,0.28,orange,1
Surprise,0.40,0.30,0.67,0.27,yellow,1
Anger,-0.50,0.26,0.65,0.35,brown,1
Sadness,-0.63,0.23,-0.27,0.34,blue,1
Fear,-0.63,0.21,0.70,0.42,violet,1
Neutral,-0.40,0.44,-0.47,0.32,grey,1
Affection,0.64,0.26,0.35,0.34,red,0.5
Lust,0.58,0.26,0.62,0.20,red,0.3
Pride,0.77,0.21,0.38,0.34,orange,0.5
Irritability,-0.58,0.16,0.40,0.37,brown,0.5
Rage,-0.44,0.25,0.72,0.29,brown,0.3
Disgust,-0.60,0.20,0.35,0.41,brown,0.5
Sadness,-0.63,0.23,-0.27,0.34,blue,0.5
Shame,-0.57,0.23,0.01,0.46,blue,0.5
